M,N,K,topk,E,calc_diff,pass
1,768,256,6,32,6.151e-04,"tensor(True, device='cuda:0')"
1,768,256,6,128,5.833e-04,"tensor(True, device='cuda:0')"
1,768,256,8,32,6.330e-04,"tensor(True, device='cuda:0')"
1,768,256,8,128,7.618e-04,"tensor(True, device='cuda:0')"
7,768,512,6,32,5.783e-04,"tensor(True, device='cuda:0')"
7,768,512,6,128,6.218e-04,"tensor(True, device='cuda:0')"
7,768,512,8,32,5.970e-04,"tensor(True, device='cuda:0')"
7,768,512,8,128,6.181e-04,"tensor(True, device='cuda:0')"
33,1024,1024,6,32,6.443e-04,"tensor(True, device='cuda:0')"
33,1024,1024,6,128,6.311e-04,"tensor(True, device='cuda:0')"
33,1024,1024,8,32,6.026e-04,"tensor(True, device='cuda:0')"
33,1024,1024,8,128,6.197e-04,"tensor(True, device='cuda:0')"
128,2048,512,6,32,6.163e-04,"tensor(True, device='cuda:0')"
128,2048,512,6,128,6.241e-04,"tensor(True, device='cuda:0')"
128,2048,512,8,32,6.069e-04,"tensor(True, device='cuda:0')"
128,2048,512,8,128,6.142e-04,"tensor(True, device='cuda:0')"
1024,2048,1024,6,32,6.190e-04,"tensor(True, device='cuda:0')"
1024,2048,1024,6,128,6.180e-04,"tensor(True, device='cuda:0')"
1024,2048,1024,8,32,6.143e-04,"tensor(True, device='cuda:0')"
1024,2048,1024,8,128,6.182e-04,"tensor(True, device='cuda:0')"
4096,4096,1024,6,32,6.182e-04,"tensor(True, device='cuda:0')"
4096,4096,1024,6,128,6.191e-04,"tensor(True, device='cuda:0')"
4096,4096,1024,8,32,6.186e-04,"tensor(True, device='cuda:0')"
4096,4096,1024,8,128,6.181e-04,"tensor(True, device='cuda:0')"
