granK,M,N,K,topk,E,calc_diff,pass
128,1,768,256,6,32,3.076e-05,True
128,1,768,256,8,128,6.531e-05,True
128,7,768,512,6,32,5.824e-05,True
128,7,768,512,8,128,5.741e-05,True
128,33,1024,1024,6,32,7.824e-05,True
128,33,1024,1024,8,128,7.160e-05,True
128,128,2048,512,6,32,7.068e-05,True
128,128,2048,512,8,128,6.549e-05,True
128,1024,2048,1024,6,32,6.559e-05,True
128,1024,2048,1024,8,128,6.691e-05,True
32,1,768,256,6,32,4.991e-05,True
32,1,768,256,8,128,2.318e-05,True
32,7,768,512,6,32,7.053e-05,True
32,7,768,512,8,128,5.186e-05,True
32,33,1024,1024,6,32,7.896e-05,True
32,33,1024,1024,8,128,6.810e-05,True
32,128,2048,512,6,32,6.176e-05,True
32,128,2048,512,8,128,6.025e-05,True
32,1024,2048,1024,6,32,6.559e-05,True
32,1024,2048,1024,8,128,6.671e-05,True
