mtag,cc,rounds,out_tok_s,ttft_mean_ms,ttft_p99_ms,tpot_mean_ms,tpot_p99_ms,req_s,olen
DeepSeek-V4-Flash-Base_tp4_cutefp8,1,3,86.73,663.51,668.63,10.89,10.91,0.08,1024
DeepSeek-V4-Flash-Base_tp4_cutefp8,2,3,151.07,976.75,1305.92,12.29,12.65,0.15,1024
DeepSeek-V4-Flash-Base_tp4_cutefp8,4,3,255.79,1872.63,2562.95,13.84,15.0,0.25,1024
DeepSeek-V4-Flash-Base_tp4_cutefp8,8,3,395.86,2631.26,5065.14,17.7,19.73,0.39,1024
DeepSeek-V4-Flash-Base_tp4_cutefp8,16,3,543.87,3485.98,10064.23,26.01,28.89,0.53,1024
DeepSeek-V4-Flash-Base_tp4_cutefp8,32,3,701.29,4654.31,19890.96,40.89,44.9,0.68,1024
DeepSeek-V4-Flash-Base_tp4_cutefp8,64,3,864.51,7233.79,39153.88,66.84,72.84,0.84,1024
DeepSeek-V4-Flash-Base_tp4_cutefp8,128,3,1047.79,12657.41,78168.66,109.39,119.7,1.02,1024
DeepSeek-V4-Flash-Base_tp4_cutemxfp832,1,3,85.92,671.61,676.05,10.99,11.08,0.08,1024
DeepSeek-V4-Flash-Base_tp4_cutemxfp832,2,3,149.05,987.37,1319.11,12.46,12.82,0.15,1024
DeepSeek-V4-Flash-Base_tp4_cutemxfp832,4,3,249.15,1854.66,2586.97,14.25,15.59,0.24,1024
DeepSeek-V4-Flash-Base_tp4_cutemxfp832,8,3,385.95,2770.63,5113.85,18.06,20.34,0.38,1024
DeepSeek-V4-Flash-Base_tp4_cutemxfp832,16,3,538.8,3421.62,10164.1,26.31,29.06,0.53,1024
DeepSeek-V4-Flash-Base_tp4_cutemxfp832,32,3,694.06,4697.4,20076.3,41.48,45.18,0.68,1024
DeepSeek-V4-Flash-Base_tp4_cutemxfp832,64,3,848.26,7295.24,39522.68,68.29,74.3,0.83,1024
DeepSeek-V4-Flash-Base_tp4_cutemxfp832,128,3,1023.03,17790.21,79446.0,106.82,122.28,1.0,1024
DeepSeek-V4-Flash-Base_tp4_dgmxfp832,1,3,110.42,667.95,675.78,8.41,8.42,0.11,1024
DeepSeek-V4-Flash-Base_tp4_dgmxfp832,2,3,175.62,985.35,1316.26,10.43,10.96,0.17,1024
DeepSeek-V4-Flash-Base_tp4_dgmxfp832,4,3,275.33,1857.91,2592.91,12.72,13.97,0.27,1024
DeepSeek-V4-Flash-Base_tp4_dgmxfp832,8,3,406.0,2530.53,5135.0,17.24,19.31,0.4,1024
DeepSeek-V4-Flash-Base_tp4_dgmxfp832,16,3,545.82,3434.29,10203.97,25.96,28.72,0.53,1024
DeepSeek-V4-Flash-Base_tp4_dgmxfp832,32,3,685.88,4715.95,20170.0,42.02,45.97,0.67,1024
DeepSeek-V4-Flash-Base_tp4_dgmxfp832,64,3,832.92,7194.24,39713.46,69.67,75.53,0.81,1024
DeepSeek-V4-Flash-Base_tp4_dgmxfp832,128,3,1007.0,17432.62,80057.41,109.18,124.37,0.98,1024
DeepSeek-V4-Flash-Base_tp4_dgue8m0,1,3,111.75,667.48,672.65,8.3,8.31,0.11,1024
DeepSeek-V4-Flash-Base_tp4_dgue8m0,2,3,178.11,979.97,1308.74,10.28,10.63,0.17,1024
DeepSeek-V4-Flash-Base_tp4_dgue8m0,4,3,279.28,1843.06,2572.72,12.53,13.82,0.27,1024
DeepSeek-V4-Flash-Base_tp4_dgue8m0,8,3,414.95,2802.01,5092.94,16.55,18.77,0.41,1024
DeepSeek-V4-Flash-Base_tp4_dgue8m0,16,3,551.81,3505.57,10119.09,25.57,28.48,0.54,1024
DeepSeek-V4-Flash-Base_tp4_dgue8m0,32,3,692.03,4675.92,19998.82,41.5,45.4,0.68,1024
DeepSeek-V4-Flash-Base_tp4_dgue8m0,64,3,837.82,7135.52,39371.78,69.3,75.05,0.82,1024
DeepSeek-V4-Flash-Base_tp4_h203e_dgfloat,1,3,132.72,642.4,650.17,6.91,6.92,0.13,1024
DeepSeek-V4-Flash-Base_tp4_h203e_dgfloat,2,3,233.89,941.6,1257.01,7.64,7.94,0.23,1024
DeepSeek-V4-Flash-Base_tp4_h203e_dgfloat,4,3,379.65,1846.49,2472.88,8.74,9.93,0.37,1024
DeepSeek-V4-Flash-Base_tp4_h203e_dgfloat,8,3,541.32,2861.4,4893.14,11.99,14.16,0.53,1024
DeepSeek-V4-Flash-Base_tp4_h203e_dgfloat,16,3,771.73,3890.87,9714.06,17.0,20.08,0.75,1024
DeepSeek-V4-Flash-Base_tp4_h203e_dgfloat,32,3,964.1,4908.64,19213.4,28.33,32.44,0.94,1024
DeepSeek-V4-Flash-Base_tp4_h203e_dgfloat,64,3,1156.32,7287.97,37786.93,48.03,54.0,1.13,1024
DeepSeek-V4-Flash-Base_tp4_h203e_dgfloat,128,3,1183.4,11947.79,74926.96,96.3,105.93,1.16,1024
DeepSeek-V4-Flash-Base_tp4_triton,1,3,115.97,662.85,667.65,7.98,8.0,0.11,1024
DeepSeek-V4-Flash-Base_tp4_triton,2,3,188.75,972.38,1297.11,9.65,10.11,0.18,1024
DeepSeek-V4-Flash-Base_tp4_triton,4,3,297.63,1827.68,2552.72,11.66,12.89,0.29,1024
DeepSeek-V4-Flash-Base_tp4_triton,8,3,436.23,2816.12,5045.27,15.59,17.78,0.43,1024
DeepSeek-V4-Flash-Base_tp4_triton,16,3,597.9,3473.02,10030.4,23.36,26.27,0.58,1024
DeepSeek-V4-Flash-Base_tp4_triton,32,3,741.45,4814.75,19823.17,38.34,42.1,0.72,1024
DeepSeek-V4-Flash-Base_tp4_triton,64,3,890.53,7199.53,39018.17,64.73,70.67,0.87,1024
DeepSeek-V4-Flash-Base_tp4_triton,128,3,1080.53,12529.78,77902.04,105.86,116.51,1.06,1024
Qwen3.5-35B-A3B-FP8_tp1_cutefp8,1,3,128.6,220.56,227.78,7.57,7.59,0.13,1024
Qwen3.5-35B-A3B-FP8_tp1_cutefp8,2,3,216.66,375.86,410.12,8.87,8.93,0.21,1024
Qwen3.5-35B-A3B-FP8_tp1_cutefp8,4,3,372.29,645.09,790.4,10.12,10.48,0.36,1024
Qwen3.5-35B-A3B-FP8_tp1_cutefp8,8,3,579.46,946.57,1554.44,12.88,13.61,0.57,1024
Qwen3.5-35B-A3B-FP8_tp1_cutefp8,16,3,818.53,1115.52,3083.19,18.45,19.27,0.8,1024
Qwen3.5-35B-A3B-FP8_tp1_cutefp8,32,3,1095.82,1513.94,6220.48,27.74,28.73,1.07,1024
Qwen3.5-35B-A3B-FP8_tp1_cutefp8,64,3,1353.36,2396.78,12980.5,44.84,46.88,1.32,1024
Qwen3.5-35B-A3B-FP8_tp1_cutefp8,128,3,1548.91,4533.58,29142.3,77.85,82.86,1.51,1024
Qwen3.5-35B-A3B-FP8_tp1_cutemxfp832,1,3,126.26,223.41,233.98,7.71,7.73,0.12,1024
Qwen3.5-35B-A3B-FP8_tp1_cutemxfp832,2,3,212.74,383.48,422.44,9.03,9.08,0.21,1024
Qwen3.5-35B-A3B-FP8_tp1_cutemxfp832,4,3,364.45,657.02,809.96,10.33,10.69,0.36,1024
Qwen3.5-35B-A3B-FP8_tp1_cutemxfp832,8,3,555.78,957.92,1572.05,13.46,14.07,0.54,1024
Qwen3.5-35B-A3B-FP8_tp1_cutemxfp832,16,3,796.73,1124.87,3115.32,18.98,19.85,0.78,1024
Qwen3.5-35B-A3B-FP8_tp1_cutemxfp832,32,3,1077.57,1530.31,6283.68,28.16,29.41,1.05,1024
Qwen3.5-35B-A3B-FP8_tp1_cutemxfp832,64,3,1334.53,2420.38,13111.09,45.48,47.65,1.3,1024
Qwen3.5-35B-A3B-FP8_tp1_cutemxfp832,128,3,1526.73,4578.51,29419.31,78.99,83.96,1.49,1024
Qwen3.5-35B-A3B-FP8_tp1_dgmxfp832,1,3,184.84,224.31,230.61,5.2,5.21,0.18,1024
Qwen3.5-35B-A3B-FP8_tp1_dgmxfp832,2,3,271.08,414.32,458.86,6.98,7.08,0.26,1024
Qwen3.5-35B-A3B-FP8_tp1_dgmxfp832,4,3,430.21,669.04,833.08,8.68,9.1,0.42,1024
Qwen3.5-35B-A3B-FP8_tp1_dgmxfp832,8,3,604.14,952.08,1583.3,12.32,13.02,0.59,1024
Qwen3.5-35B-A3B-FP8_tp1_dgmxfp832,16,3,829.25,1134.71,3142.46,18.19,19.14,0.81,1024
Qwen3.5-35B-A3B-FP8_tp1_dgmxfp832,32,3,1053.96,1534.27,6333.57,28.84,30.13,1.03,1024
Qwen3.5-35B-A3B-FP8_tp1_dgmxfp832,64,3,1307.98,2433.83,13202.75,46.44,48.55,1.28,1024
Qwen3.5-35B-A3B-FP8_tp1_dgmxfp832,128,3,1497.39,4610.85,29651.09,80.6,85.7,1.46,1024
Qwen3.5-35B-A3B-FP8_tp1_dgue8m0,1,3,186.82,219.16,225.46,5.14,5.16,0.18,1024
Qwen3.5-35B-A3B-FP8_tp1_dgue8m0,2,3,275.99,353.63,409.93,6.91,7.0,0.27,1024
Qwen3.5-35B-A3B-FP8_tp1_dgue8m0,4,3,438.12,624.71,793.57,8.52,8.92,0.43,1024
Qwen3.5-35B-A3B-FP8_tp1_dgue8m0,8,3,619.17,924.29,1536.99,12.02,12.71,0.6,1024
Qwen3.5-35B-A3B-FP8_tp1_dgue8m0,16,3,841.06,1096.3,3067.43,17.95,18.73,0.82,1024
Qwen3.5-35B-A3B-FP8_tp1_dgue8m0,32,3,1069.98,1493.69,6169.73,28.44,29.56,1.04,1024
Qwen3.5-35B-A3B-FP8_tp1_dgue8m0,64,3,1331.16,2374.16,12867.88,45.65,47.96,1.3,1024
Qwen3.5-35B-A3B-FP8_tp1_dgue8m0,128,3,1521.88,4507.67,29000.47,79.34,84.37,1.49,1024
Qwen3.5-35B-A3B-FP8_tp1_h203e_dgfloat,1,3,218.01,347.0,357.03,4.25,4.27,0.21,1024
